collectioncode,catalognumber,scientificname,longitude,latitude
MBML-HERBARIO,22230,Cambessedesia eichleri,-40.775278,-19.796944
MBML-HERBARIO,22380,Cambessedesia eichleri,-40.775278,-19.796944
MBML-HERBARIO,23092,Cambessedesia eichleri,-40.583333,-19.984167
MBML-HERBARIO,23192,Cambessedesia eichleri,-40.981111,-19.741389
MBML-HERBARIO,23249,Cambessedesia eichleri,-40.775278,-19.796944
MBML-HERBARIO,23320,Cambessedesia eichleri,-40.739444,-19.760833
MBML-HERBARIO*,24208,Cambessedesia eichleri,-40.6002998352051,-19.9356002807617
MBML-HERBARIO,24226,Cambessedesia eichleri,-40.614444,-20.173056
MBML-HERBARIO*,24230,Cambessedesia eichleri,-40.369701385498,-19.8318996429443
MBML-HERBARIO,25591,Cambessedesia eichleri,-40.555833,-19.935
MBML-HERBARIO,26352,Cambessedesia eichleri,-40.648,-19.022833
MBML-HERBARIO,26373,Cambessedesia eichleri,-40.551111,-19.348333
MBML-HERBARIO,27388,Cambessedesia eichleri,-40.665556,-18.977778
MBML-HERBARIO,27448,Cambessedesia eichleri,-40.463333,-19.275833
MBML-HERBARIO,29185,Cambessedesia eichleri,-40.616111,-20.101944
MBML-HERBARIO,29433,Cambessedesia eichleri,-40.551111,-19.348333
MBML-HERBARIO,29582,Cambessedesia eichleri,-40.664444,-18.973889
MBML-HERBARIO,31021,Cambessedesia eichleri,-40.463333,-19.275833
MBML-HERBARIO,32156,Cambessedesia eichleri,-40.662222,-18.985806
MBML-HERBARIO,34131,Cambessedesia eichleri,-40.775278,-19.796944
MBML-HERBARIO,34135,Cambessedesia eichleri,-40.775278,-19.796944
MBML-HERBARIO,34710,Cambessedesia eichleri,-40.616111,-20.101944
MBML-HERBARIO,35603,Cambessedesia eichleri,-40.603111,-20.089444
MBML-HERBARIO,41420,Cambessedesia eichleri,-40.793333,-19.835556
MBML-HERBARIO,44926,Cambessedesia eichleri,-40.814722,-19.897778
MBML-HERBARIO,48763,Cambessedesia eichleri,-40.771944,-19.802778
MBML-HERBARIO,48775,Cambessedesia eichleri,-40.614444,-20.173056
MBML-HERBARIO,54457,Cambessedesia eichleri,-40.814917,-19.8985
MBML-HERBARIO,6392,Cambessedesia eichleri,-40.319167,-20.17
UPCB,42268,Cambessedesia eichleri,-36.340833,-8.134444
UPCB*,78759,Cambessedesia eichleri,-40.6002998352051,-19.9356002807617
UPCB,83341,Cambessedesia eichleri,-40.996,-20.292
UPCB,88764,Cambessedesia eichleri,-40.812778,-19.895833
UPCB*,89330,Cambessedesia eichleri,-40.3078002929688,-20.1285991668701
UPCB*,93304,Cambessedesia eichleri,-39.5861015319824,-3.68667006492615
UPCB,93620,Cambessedesia eichleri,-44.920833,-15.2725
HVC,1320,Cambessedesia eichleri,-41.966389,-13.526667
SPF,91868,Cambessedesia eichleri,-41.85,-13.233333
VIES,46342,Cambessedesia eichleri,-40.815,-19.895278
BHCB,156873,Cambessedesia eichleri,-41.260944,-17.855972
BHCB,159516,Cambessedesia eichleri,-41.260944,-17.855972
HST*,5961,Cambessedesia eichleri,-36.7757987976074,-8.46638965606689
RB,RB00810042,Cambessedesia eichleri,-40.812778,-19.895833
RB,RB00741459,Cambessedesia eichleri,-41.286111,-20.343889
RB,RB00741459,Cambessedesia eichleri,-41.286111,-20.477222
RB,RB00583658,Cambessedesia eichleri,-40.463333,-19.275833
RB,RB00816085,Cambessedesia eichleri,-41.260833,-17.856111
RB,RB00582773,Cambessedesia eichleri,-40.664444,-18.973889
RB,RB00561801,Cambessedesia eichleri,-40.588333,-19.865833
RB,RB00586143,Cambessedesia eichleri,-40.560000,-19.482500
HBG*,508549,Cambessedesia espora,-47.848333,-15.673611
B*,B 10 0217348,Cambessedesia espora,-47.833056,-15.837222
HUFABC,001955,Cambessedesia espora,-46.696694,-23.351414
HUFABC,001956,Cambessedesia espora,-46.696694,-23.351414
HUFABC,001983,Cambessedesia espora,-46.696694,-23.351414
HUFSJ*,1339,Cambessedesia espora,-44.1781005859375,-21.1103000640869
HUFSJ,4031,Cambessedesia espora,-44.756,-21.067389
CAS-BOT*,558243,Cambessedesia espora,-46.0499992370605,-20.6152992248535
CAS-BOT,471934,Cambessedesia espora,-47.523333,-13.955556
CAS-BOT,335327,Cambessedesia espora,-46.1165161133,-22.8372325897
CAS-BOT,335633,Cambessedesia espora,-44.6461181641,-21.9441642761
FMNH-SEEDPLANTS*,V0119628F,Cambessedesia espora,-47.606111,-14.177222
FMNH-SEEDPLANTS*,V0119631F,Cambessedesia espora,-43.450833,-20.374444
FMNH-SEEDPLANTS*,V0119632F,Cambessedesia espora,-43.781111,-19.853056
FMNH-SEEDPLANTS*,V0119633F,Cambessedesia espora,-46.398333,-21.872778
FMNH-SEEDPLANTS*,V0119646F,Cambessedesia espora,-47.235556,-19.350556
FMNH-SEEDPLANTS*,V0119635F,Cambessedesia espora,-46.548333,-20.675000
FMNH-SEEDPLANTS*,V0119636F,Cambessedesia espora,-47.474167,-14.801944
FMNH-SEEDPLANTS*,V0119637F,Cambessedesia espora,-44.297778,-21.737222
FMNH-SEEDPLANTS*,V0119638F,Cambessedesia espora,-43.888333,-19.629722
FMNH-SEEDPLANTS*,V0119639F,Cambessedesia espora,-47.519167,-13.949167
FMNH-SEEDPLANTS*,V0119640F,Cambessedesia espora,-47.530000,-14.778889
FMNH-SEEDPLANTS*,V0119641F,Cambessedesia espora,-47.576944,-15.501944
FMNH-SEEDPLANTS*,V0119642F,Cambessedesia espora,-49.788889,-24.193056
FMNH-SEEDPLANTS*,V0119643F,Cambessedesia espora,-47.925833,-15.572222
FMNH-SEEDPLANTS*,V0119644F,Cambessedesia espora,-48.047778,-15.783333
FMNH-SEEDPLANTS,V0119648F,Cambessedesia espora,-47.234167,-19.413333
FMNH-SEEDPLANTS*,V0119649F,Cambessedesia espora,-46.935000,-20.902222
FMNH-SEEDPLANTS*,V0119650F,Cambessedesia espora,-43.926667,-19.973056
FMNH-SEEDPLANTS*,V0119651F,Cambessedesia espora,-46.988056,-19.609167
FMNH-SEEDPLANTS*,V0119652F,Cambessedesia espora,-43.954444,-20.274444
FMNH-SEEDPLANTS*,V0119653F,Cambessedesia espora,-43.760556,-19.861944
FMNH-SEEDPLANTS*,V0119654F,Cambessedesia espora,-43.622500,-20.365556
FMNH-SEEDPLANTS*,V0119655F,Cambessedesia espora,-43.948056,-20.373056
FMNH-SEEDPLANTS*,V0119656F,Cambessedesia espora,-43.921667,-20.036111
FMNH-SEEDPLANTS*,V0119658F,Cambessedesia espora,-47.621389,-14.017778
FMNH-SEEDPLANTS*,V0119659F,Cambessedesia espora,-47.703889,-14.033889
FMNH-SEEDPLANTS*,V0119660F,Cambessedesia espora,-47.801944,-15.683056
